Ticker;Name;Type;Sector;Sub Sector;Segment
GTWR11;FII G Towers;FII;-;-;Lajes Corporativas
RBVA11;FII Riob Va;FII;-;-;Agências
LVBI11;FII Vbi Log;FII;-;-;#N/D
RBRF11;FII Rbralpha;FII;-;-;TVM
KNHY11;FII Kinea Hy;FII;-;-;#N/D
VCJR11;FII Vectis;FII;-;-;#N/D
VRTA11;FII Fator Ve;FII;-;-;TVM
DEVA11;FII Devant;FII;-;-;#N/D
RBRP11;FII Rbr Prop;FII;-;-;Não
RBRR11;FII Rbrhgrad;FII;-;-;TVM
RZTR11;FII Riza Tx;FII;-;-;#N/D
CVBI11;FII Vbi Cri;FII;-;-;#N/D
GGRC11;FII Ggr Covep;FII;-;-;Logística
MCCI11;FII Maua;FII;-;-;#N/D
PVBI11;FII Vbi Pri;FII;-;-;#N/D
ABCP11;FII Abc Imob;FII;-;-;Shoppings
MGFF11;FII Mogno;FII;-;-;TVM
VINO11;FII Vinc Cor;FII;-;-;Híbrido
MALL11;FII Malls Bp;FII;-;-;Shoppings
BCRI11;FII Bees Cri;FII;-;-;TVM
XPIN11;FII Xp Indl;FII;-;-;#N/D
HABT11;FII Habit 2;FII;-;-;#N/D
RECT11;FII Rec Rend;FII;-;-;#N/D
XPCI11;FII Xp Cred;FII;-;-;#N/D
SDIL11;FII Sdi Log;FII;-;-;Logística
KNSC11;FII Kinea Sc;FII;-;-;#N/D
BZLI11;FII Brrealty;FII;-;-;Híbrido
TRXF11;FII Trx Real;FII;-;-;#N/D
ALZR11;FII Alianza;FII;-;-;Híbrido
SARE11;FII Sant Ren;FII;-;-;#N/D
VGIP11;FII Valoraip;FII;-;-;#N/D
RCRB11;FII Riob Rc;FII;-;-;Lajes Corporativas
BARI11;FII Barigui;FII;-;-;#N/D
MFII11;FII Merito I;FII;-;-;Híbrido
XPPR11;FII Xp Prop;FII;-;-;#N/D
BTCR11;FII BTG Cri;FII;-;-;TVM
PATL11;FII Patr Log;FII;-;-;#N/D
XPSF11;FII Xp Selec;FII;-;-;#N/D
KFOF11;FII Kineafof;FII;-;-;#N/D
VGIR11;FII Valrelll;FII;-;-;#N/D
PORD11;FII Polo Cri;FII;-;-;TVM
TORD11;FII Torde Ei;FII;-;-;#N/D
HGPO11;FII Cshgprim;FII;-;-;Lajes Corporativas
BCIA11;FII Bcia;FII;-;-;TVM
BPFF11;FII Absoluto;FII;-;-;TVM
FIIB11;FII Indl BR;FII;-;-;Logística
BBFI11B;FII BB Progr;FII;-;-;Não
TEPP11;FII Tel Prop;FII;-;-;#N/D
CPFF11;FII Cap Reit;FII;-;-;#N/D
RBED11;FII Riob Ed;FII;-;-;Educacional
SADI11;FII Sant Pap;FII;-;-;#N/D
QAGR11;FII Quasar A;FII;-;-;#N/D
RBFF11;FII Riob Ff;FII;-;-;TVM
HGFF11;FII CSHG Fof;FII;-;-;#N/D
PATC11;FII Patria;FII;-;-;#N/D
VTLT11;FII Vot Log;FII;-;-;Logística
URPR11;FII Urca Ren;FII;-;-;#N/D
FLMA11;FII S F Lima;FII;-;-;Lajes Corporativas
PLCR11;FII Plural R;FII;-;-;#N/D
FIGS11;FII Gen Shop;FII;-;-;Shoppings
RNGO11;FII Rionegro;FII;-;-;Lajes Corporativas
OULG11;FII Ourilog;FII;-;-;Híbrido
RVBI11;FII Vbi Reit;FII;-;-;#N/D
HTMX11;FII Hotel Mx;FII;-;-;Hotel
RBRD11;FII Rb II;FII;-;-;Híbrido
XPCM11;FII Xp Macae;FII;-;-;Lajes Corporativas
RFOF11;FII Rb Cfof;FII;-;-;#N/D
SPTW11;FII SP Downt;FII;-;-;Outros
BBVJ11;FII C Jardim;FII;-;-;Lajes Corporativas
CEOC11;FII Ceo Ccp;FII;-;-;Lajes Corporativas
HTMX11;FII Hotel Mx;FII;-;-;Hotel
ALMI11;FII Torre Al;FII;-;-;Lajes Corporativas
FAED11;FII Anh Educ;FII;-;-;Educacional
XPCM11;FII Xp Macae;FII;-;-;Lajes Corporativas
RBRD11;FII Rb II;FII;-;-;Híbrido
SPTW11;FII SP Downt;FII;-;-;Outros
ONEF11;FII The One;FII;-;-;Lajes Corporativas
EDGA11;FII Galeria;FII;-;-;Lajes Corporativas
GRLV11;FII Louveira;FII;-;-;Logística
MBRF11;FII Merc BR;FII;-;-;Híbrido
CTXT11;FII C Textil;FII;-;-;Lajes Corporativas
CARE11;FII Dea Care;FII;-;-;Lajes Corporativas
